language,resource_group,delta_core_pass,delta_gemini_faithfulness,delta_hybrid_faithfulness,delta_naturalness
bo,lower_resource_script_sensitive,0.21484375,0.03742331288343559,0.13794916739702012,-0.08229166666666687
id,higher_resource,0.25390625,-0.011271783463107199,0.19421579532814237,-0.38958333333333295
ja,higher_resource,0.296875,0.08171641791044781,0.34860074626865667,-0.7752192982456134
kk-Arab,lower_resource_script_sensitive,0.177734375,-0.025754231052244336,0.17206924596258857,-0.28728070175438614
mn-Mong,lower_resource_script_sensitive,0.201171875,-0.04455782312925172,0.04795918367346941,-0.016447368421052655
th,higher_resource,0.208984375,0.03331121433311213,0.231895598318956,-0.24451754385964897
ug,lower_resource_script_sensitive,0.291015625,0.05153329704227905,0.24699691526038836,-0.5197368421052628
zh,higher_resource,0.248046875,0.02220265133957533,0.21345137665708713,-0.6008771929824559
