method,core_n,core_pass,core_ci95_low,core_ci95_high,gemini_n,gemini_faithfulness,gemini_ci95_low,gemini_ci95_high,hybrid_faithfulness,hybrid_ci95_low,hybrid_ci95_high,naturalness_n,naturalness,naturalness_ci95_low,naturalness_ci95_high
naive,4096,0.45947265625,0.4442558977090919,0.47476536120185664,1232,0.6266233766233766,0.5992592326502179,0.6532003346940652,0.3628246753246753,0.33644090030718476,0.390061235069842,1232,3.897862554112554,3.8434794372294374,3.953598484848485
field_constrained,4096,0.508056640625,0.492746033539374,0.5233521499301362,1232,0.737012987012987,0.7117197334212204,0.7608327900693606,0.44237012987012986,0.41485806934653063,0.4702404609006226,1232,3.7843614718614718,3.731060606060606,3.836715367965368
extract_localize_verify,4096,0.52490234375,0.5095929435807366,0.540165078052295,1232,0.7102272727272727,0.6842727288497161,0.7348748861641896,0.44642857142857145,0.41887865623493226,0.4743115268117173,1232,3.8380681818181817,3.784090909090909,3.8909665854978357
protected_slot_realization,4096,0.761474609375,0.7481818477391287,0.7742773794077034,1232,0.7272727272727273,0.7017260634038133,0.7514064933679768,0.6420454545454546,0.6148724572063478,0.668335390776021,1232,3.4752435064935066,3.426542207792208,3.5254329004329006
